ข้อคำถาม,5,5(%),4,4(%),3,3(%),2,2(%),1,1(%),0,0(%),x_bar,SD,topic,degree,semester,subject,section,นักศึกษาที่จดทะเบียน,นักศึกษาที่ประเมิน,url,year,sem,n,class,situation
สภาพของห้องเรียนหรือห้องปฏิบัติการ เช่น แสง อุณหภูมิ โต๊ะ เก้าอี้ จุดเชื่อมต่ออินเตอร์เน็ตไร้สายบริการ ฯลฯ มีความเหมาะสมและคุณภาพพร้อมใช้งาน,41,43.62,27,28.72,17,18.09,7,7.45,2,2.13,0,0,4.04,1.06,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการปกติ,1/2562,RMW014,556574,501,94 (18.76%),https://sgulyano.github.io/eval/33472214.html,2562,1,94,1/2562|RMW014|556574,normal
จำนวนอุปกรณ์ในการเรียนการสอนเพียงพอ และเหมาะสมต่อจำนวนผู้เรียน เช่น คอมพิวเตอร์ เครื่องดนตรี ฯลฯ,42,44.68,36,38.3,14,14.89,2,2.13,0,0,0,0,4.26,0.79,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการปกติ,1/2562,RMW014,556574,501,94 (18.76%),https://sgulyano.github.io/eval/33472214.html,2562,1,94,1/2562|RMW014|556574,normal
เจ้าหน้าที่อำนวยความสะดวกในการให้บริการในการเรียนวิชานี้,55,58.51,22,23.4,11,11.7,5,5.32,0,0,1,1.06,4.37,0.89,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการปกติ,1/2562,RMW014,556574,501,94 (18.76%),https://sgulyano.github.io/eval/33472214.html,2562,1,94,1/2562|RMW014|556574,normal
"ผู้สอนมีการกำหนดวัตถุประสงค์, หัวข้อการสอน, และมีเอกสารอ่านประกอบ",29,87.88,4,12.12,0,0,0,0,0,0,0,0,4.88,0.33,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2564,AZW892,231863,46,33 (71.74%),https://sgulyano.github.io/eval/33561138.html,2564,2,33,2/2564|AZW892|231863,covid
ผู้สอนมีการสอน ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,26,78.79,7,21.21,0,0,0,0,0,0,0,0,4.79,0.42,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2564,AZW892,231863,46,33 (71.74%),https://sgulyano.github.io/eval/33561138.html,2564,2,33,2/2564|AZW892|231863,covid
ผู้สอนมีการประเมินผล ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,25,75.76,8,24.24,0,0,0,0,0,0,0,0,4.76,0.44,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2564,AZW892,231863,46,33 (71.74%),https://sgulyano.github.io/eval/33561138.html,2564,2,33,2/2564|AZW892|231863,covid
ผู้สอนสร้างช่องทางการติดต่อกับผู้เรียน ในการปรึกษาข้อสงสัยในหัวข้อที่เรียน ทำให้การเรียนเป็นไปตามวัตถุประสงค์,23,69.7,9,27.27,1,3.03,0,0,0,0,0,0,4.67,0.54,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2564,AZW892,231863,46,33 (71.74%),https://sgulyano.github.io/eval/33561138.html,2564,2,33,2/2564|AZW892|231863,covid
ผู้สอนมีการเตรียมการสอนมาอย่างดี สอนอย่างมีขั้นตอนและต่อเนื่อง ตามเค้าโครงการสอนหรือเนื้อหาวิชาที่รับผิดชอบภายใต้ข้อจำกัดในการเรียนการสอนออนไลน์,28,84.85,4,12.12,1,3.03,0,0,0,0,0,0,4.82,0.46,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2564,AZW892,231863,46,33 (71.74%),https://sgulyano.github.io/eval/33561138.html,2564,2,33,2/2564|AZW892|231863,covid
ผู้สอนอธิบายชัดเจน ตรงประเด็น มีการยกตัวอย่างประกอบให้เข้าใจง่าย และมีการใช้สื่อการสอนที่สามารถเชื่อมโยงกับเนื้อหาที่สอนให้ผู้เรียนเกิดการเรียนรู้ได้ดีขึ้น,23,69.7,7,21.21,3,9.09,0,0,0,0,0,0,4.61,0.66,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2564,AZW892,231863,46,33 (71.74%),https://sgulyano.github.io/eval/33561138.html,2564,2,33,2/2564|AZW892|231863,covid
ผู้สอนกระตุ้นและส่งเสริมให้นักศึกษาซักถาม คิด วิเคราะห์ วิจารณ์ แสดงความคิดเห็น และส่งเสริมการค้นคว้าด้วยตนเอง พร้อมแนะนำแหล่งความรู้เพิ่มเติม,18,54.55,13,39.39,1,3.03,1,3.03,0,0,0,0,4.45,0.71,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2564,AZW892,231863,46,33 (71.74%),https://sgulyano.github.io/eval/33561138.html,2564,2,33,2/2564|AZW892|231863,covid
ผู้สอนส่งเสริมให้นักศึกษามีคุณธรรม จริยธรรม และปลูกฝังจิตสํานึกให้นักศึกษานําไปประพฤติและปฏิบัติได้อย่างเหมาะสม,23,69.7,9,27.27,1,3.03,0,0,0,0,0,0,4.67,0.54,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2564,AZW892,231863,46,33 (71.74%),https://sgulyano.github.io/eval/33561138.html,2564,2,33,2/2564|AZW892|231863,covid
"ผู้สอนมีการกำหนดวัตถุประสงค์, หัวข้อการสอน, และมีเอกสารอ่านประกอบ",26,76.47,7,20.59,1,2.94,0,0,0,0,0,0,4.74,0.51,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2564,NVI781,231863,64,35 (54.69%),https://sgulyano.github.io/eval/33565025.html,2564,1,35,1/2564|NVI781|231863,covid
ผู้สอนมีการสอน ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,25,73.53,7,20.59,2,5.88,0,0,0,0,0,0,4.68,0.59,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2564,NVI781,231863,64,35 (54.69%),https://sgulyano.github.io/eval/33565025.html,2564,1,35,1/2564|NVI781|231863,covid
ผู้สอนมีการประเมินผล ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,26,76.47,6,17.65,2,5.88,0,0,0,0,0,0,4.71,0.58,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2564,NVI781,231863,64,35 (54.69%),https://sgulyano.github.io/eval/33565025.html,2564,1,35,1/2564|NVI781|231863,covid
ผู้สอนสร้างช่องทางการติดต่อกับผู้เรียน ในการปรึกษาข้อสงสัยในหัวข้อที่เรียน ทำให้การเรียนเป็นไปตามวัตถุประสงค์,26,76.47,6,17.65,2,5.88,0,0,0,0,0,0,4.71,0.58,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2564,NVI781,231863,64,35 (54.69%),https://sgulyano.github.io/eval/33565025.html,2564,1,35,1/2564|NVI781|231863,covid
ผู้สอนมีการเตรียมการสอนมาอย่างดี สอนอย่างมีขั้นตอนและต่อเนื่อง ตามเค้าโครงการสอนหรือเนื้อหาวิชาที่รับผิดชอบภายใต้ข้อจำกัดในการเรียนการสอนออนไลน์,25,73.53,6,17.65,3,8.82,0,0,0,0,0,0,4.65,0.65,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2564,NVI781,231863,64,35 (54.69%),https://sgulyano.github.io/eval/33565025.html,2564,1,35,1/2564|NVI781|231863,covid
ผู้สอนอธิบายชัดเจน ตรงประเด็น มีการยกตัวอย่างประกอบให้เข้าใจง่าย และมีการใช้สื่อการสอนที่สามารถเชื่อมโยงกับเนื้อหาที่สอนให้ผู้เรียนเกิดการเรียนรู้ได้ดีขึ้น,23,67.65,10,29.41,1,2.94,0,0,0,0,0,0,4.65,0.54,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2564,NVI781,231863,64,35 (54.69%),https://sgulyano.github.io/eval/33565025.html,2564,1,35,1/2564|NVI781|231863,covid
ผู้สอนกระตุ้นและส่งเสริมให้นักศึกษาซักถาม คิด วิเคราะห์ วิจารณ์ แสดงความคิดเห็น และส่งเสริมการค้นคว้าด้วยตนเอง พร้อมแนะนำแหล่งความรู้เพิ่มเติม,21,61.76,10,29.41,3,8.82,0,0,0,0,0,0,4.53,0.66,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2564,NVI781,231863,64,35 (54.69%),https://sgulyano.github.io/eval/33565025.html,2564,1,35,1/2564|NVI781|231863,covid
ผู้สอนส่งเสริมให้นักศึกษามีคุณธรรม จริยธรรม และปลูกฝังจิตสํานึกให้นักศึกษานําไปประพฤติและปฏิบัติได้อย่างเหมาะสม,22,64.71,11,32.35,1,2.94,0,0,0,0,0,0,4.62,0.55,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2564,NVI781,231863,64,35 (54.69%),https://sgulyano.github.io/eval/33565025.html,2564,1,35,1/2564|NVI781|231863,covid
สอนอย่างเป็นระบบ,2,28.57,2,28.57,2,28.57,1,14.29,0,0,0,0,3.71,1.11,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
สอนให้คิด วิเคราะห์ วิจารณ์,1,14.29,4,57.14,1,14.29,1,14.29,0,0,0,0,3.71,0.95,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
กระตุ้นบรรยากาศการเรียนการสอน มีวิธีสอนที่น่าสนใจและน่าติดตาม,1,14.29,2,28.57,1,14.29,3,42.86,0,0,0,0,3.14,1.21,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
เปิดโอกาสให้แสดงความคิดเห็นและแลกเปลี่ยนประสบการณ์ ทั้งภายในและภายนอกห้องเรียน,2,28.57,4,57.14,0,0,1,14.29,0,0,0,0,4,1.00,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
มีการให้นำเสนองาน/มีการวัดผลโดยวิธีอื่นๆที่สะท้อนความสามารถของผู้เรียนนอกเหนือจากการตอบข้อสอบ,1,14.29,3,42.86,2,28.57,1,14.29,0,0,0,0,3.57,0.98,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
ทำให้เห็นความสัมพันธ์กับวิชาอื่นที่เกี่ยวข้อง,2,28.57,3,42.86,1,14.29,1,14.29,0,0,0,0,3.86,1.07,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
ใช้สื่อและอุปกรณ์ช่วยสอนได้ดี,2,28.57,3,42.86,2,28.57,0,0,0,0,0,0,4,0.82,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
แนะนำแหล่งค้นคว้าข้อมูลเพิ่มเติมให้,2,28.57,5,71.43,0,0,0,0,0,0,0,0,4.29,0.49,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
ผู้สอนแจ้งวัตถุประสงค์และเนื้อหารายวิชาตามเค้าโครงการสอนรายวิชาอย่างชัดเจน,3,42.86,4,57.14,0,0,0,0,0,0,0,0,4.43,0.53,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
ผู้สอนแจ้งเกณฑ์และวิธีประเมินผลล่วงหน้าชัดเจน,5,71.43,2,28.57,0,0,0,0,0,0,0,0,4.71,0.49,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
ผู้สอนเข้าสอนและเลิกสอนตรงเวลา,6,85.71,1,14.29,0,0,0,0,0,0,0,0,4.86,0.38,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
ผู้สอนมาสอนสม่ำเสมอ,5,71.43,2,28.57,0,0,0,0,0,0,0,0,4.71,0.49,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
ผู้สอนสอนเนื้อหาครบถ้วน และสอดคล้องตามเค้าโครงการสอนรายวิชา,2,28.57,4,57.14,1,14.29,0,0,0,0,0,0,4.14,0.69,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
ผู้สอนมีการเตรียมการสอนมาอย่างดี,3,42.86,3,42.86,1,14.29,0,0,0,0,0,0,4.29,0.76,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
ผู้สอนชี้แนะจุดมุ่งหมายประเด็นหรือข้อสรุปที่เป็นเนื้อหาสาระสำคัญ,2,28.57,3,42.86,2,28.57,0,0,0,0,0,0,4,0.82,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
ผู้สอนแทรกเนื้อหาเกี่ยวกับคุณธรรมจริยธรรมในการเรียนการสอน,2,28.57,4,57.14,0,0,1,14.29,0,0,0,0,4,1.00,ส่วนที่ 2 ข้อคำถามของคณะ/หน่วยงาน,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
โสตทัศนูปกรณ์ช่วยสอนในห้องเรียน เช่น ไมโครโฟน เครื่องฉายแผ่นทึบ มีคุณภาพพร้อมใช้งาน,3,42.86,2,28.57,1,14.29,1,14.29,0,0,0,0,4,1.15,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
สภาพของห้องเรียนหรือห้องปฏิบัติการ เช่น แสง อุณหภูมิ โต๊ะ เก้าอี้ จุดเชื่อมต่ออินเตอร์เน็ตไร้สายบริการ ฯลฯ มีความเหมาะสมและคุณภาพพร้อมใช้งาน,2,28.57,1,14.29,2,28.57,2,28.57,0,0,0,0,3.43,1.27,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
จำนวนอุปกรณ์ในการเรียนการสอนเพียงพอ และเหมาะสมต่อจำนวนผู้เรียน เช่น คอมพิวเตอร์ เครื่องดนตรี ฯลฯ,2,28.57,3,42.86,1,14.29,1,14.29,0,0,0,0,3.86,1.07,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
เจ้าหน้าที่อำนวยความสะดวกในการให้บริการในการเรียนวิชานี้,3,42.86,2,28.57,2,28.57,0,0,0,0,0,0,4.14,0.90,ส่วนที่ 3 สภาพแวดล้อมและสิ่งสนับสนุนการเรียนรู้,ปริญญาตรี โครงการพิเศษ,2/2561,YRY790,231863,44,7 (15.91%),https://sgulyano.github.io/eval/41557226.html,2561,2,7,2/2561|YRY790|231863,normal
"ผู้สอนมีการกำหนดวัตถุประสงค์, หัวข้อการสอน, และมีเอกสารอ่านประกอบ",6,75,2,25,0,0,0,0,0,0,0,0,4.75,0.46,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,NVI781,231863,46,8 (17.39%),https://sgulyano.github.io/eval/43951333.html,2563,2,8,2/2563|NVI781|231863,covid
ผู้สอนมีการสอน ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,6,75,2,25,0,0,0,0,0,0,0,0,4.75,0.46,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,NVI781,231863,46,8 (17.39%),https://sgulyano.github.io/eval/43951333.html,2563,2,8,2/2563|NVI781|231863,covid
ผู้สอนมีการประเมินผล ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,6,75,2,25,0,0,0,0,0,0,0,0,4.75,0.46,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,NVI781,231863,46,8 (17.39%),https://sgulyano.github.io/eval/43951333.html,2563,2,8,2/2563|NVI781|231863,covid
ผู้สอนสร้างช่องทางการติดต่อกับผู้เรียน ในการปรึกษาข้อสงสัยในหัวข้อที่เรียน ทำให้การเรียนเป็นไปตามวัตถุประสงค์,3,37.5,5,62.5,0,0,0,0,0,0,0,0,4.38,0.52,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,NVI781,231863,46,8 (17.39%),https://sgulyano.github.io/eval/43951333.html,2563,2,8,2/2563|NVI781|231863,covid
ผู้สอนมีการเตรียมการสอนมาอย่างดี สอนอย่างมีขั้นตอนและต่อเนื่อง ตามเค้าโครงการสอนหรือเนื้อหาวิชาที่รับผิดชอบภายใต้ข้อจำกัดในการเรียนการสอนออนไลน์,4,50,3,37.5,1,12.5,0,0,0,0,0,0,4.38,0.74,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,NVI781,231863,46,8 (17.39%),https://sgulyano.github.io/eval/43951333.html,2563,2,8,2/2563|NVI781|231863,covid
ผู้สอนอธิบายชัดเจน ตรงประเด็น มีการยกตัวอย่างประกอบให้เข้าใจง่าย และมีการใช้สื่อการสอนที่สามารถเชื่อมโยงกับเนื้อหาที่สอนให้ผู้เรียนเกิดการเรียนรู้ได้ดีขึ้น,4,50,2,25,2,25,0,0,0,0,0,0,4.25,0.89,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,NVI781,231863,46,8 (17.39%),https://sgulyano.github.io/eval/43951333.html,2563,2,8,2/2563|NVI781|231863,covid
ผู้สอนกระตุ้นและส่งเสริมให้นักศึกษาซักถาม คิด วิเคราะห์ วิจารณ์ แสดงความคิดเห็น และส่งเสริมการค้นคว้าด้วยตนเอง พร้อมแนะนำแหล่งความรู้เพิ่มเติม,3,37.5,4,50,1,12.5,0,0,0,0,0,0,4.25,0.71,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,NVI781,231863,46,8 (17.39%),https://sgulyano.github.io/eval/43951333.html,2563,2,8,2/2563|NVI781|231863,covid
ผู้สอนส่งเสริมให้นักศึกษามีคุณธรรม จริยธรรม และปลูกฝังจิตสํานึกให้นักศึกษานําไปประพฤติและปฏิบัติได้อย่างเหมาะสม,6,75,1,12.5,1,12.5,0,0,0,0,0,0,4.63,0.74,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,NVI781,231863,46,8 (17.39%),https://sgulyano.github.io/eval/43951333.html,2563,2,8,2/2563|NVI781|231863,covid
"ผู้สอนมีการกำหนดวัตถุประสงค์, หัวข้อการสอน, และมีเอกสารอ่านประกอบ",5,83.33,1,16.67,0,0,0,0,0,0,0,0,4.83,0.41,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,231863,44,6 (13.64%),https://sgulyano.github.io/eval/44868136.html,2563,2,6,2/2563|FGL497|231863,covid
ผู้สอนมีการสอน ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,4,66.67,2,33.33,0,0,0,0,0,0,0,0,4.67,0.52,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,231863,44,6 (13.64%),https://sgulyano.github.io/eval/44868136.html,2563,2,6,2/2563|FGL497|231863,covid
ผู้สอนมีการประเมินผล ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,4,66.67,2,33.33,0,0,0,0,0,0,0,0,4.67,0.52,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,231863,44,6 (13.64%),https://sgulyano.github.io/eval/44868136.html,2563,2,6,2/2563|FGL497|231863,covid
ผู้สอนสร้างช่องทางการติดต่อกับผู้เรียน ในการปรึกษาข้อสงสัยในหัวข้อที่เรียน ทำให้การเรียนเป็นไปตามวัตถุประสงค์,3,50,3,50,0,0,0,0,0,0,0,0,4.5,0.55,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,231863,44,6 (13.64%),https://sgulyano.github.io/eval/44868136.html,2563,2,6,2/2563|FGL497|231863,covid
ผู้สอนมีการเตรียมการสอนมาอย่างดี สอนอย่างมีขั้นตอนและต่อเนื่อง ตามเค้าโครงการสอนหรือเนื้อหาวิชาที่รับผิดชอบภายใต้ข้อจำกัดในการเรียนการสอนออนไลน์,3,50,3,50,0,0,0,0,0,0,0,0,4.5,0.55,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,231863,44,6 (13.64%),https://sgulyano.github.io/eval/44868136.html,2563,2,6,2/2563|FGL497|231863,covid
ผู้สอนอธิบายชัดเจน ตรงประเด็น มีการยกตัวอย่างประกอบให้เข้าใจง่าย และมีการใช้สื่อการสอนที่สามารถเชื่อมโยงกับเนื้อหาที่สอนให้ผู้เรียนเกิดการเรียนรู้ได้ดีขึ้น,4,66.67,2,33.33,0,0,0,0,0,0,0,0,4.67,0.52,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,231863,44,6 (13.64%),https://sgulyano.github.io/eval/44868136.html,2563,2,6,2/2563|FGL497|231863,covid
ผู้สอนกระตุ้นและส่งเสริมให้นักศึกษาซักถาม คิด วิเคราะห์ วิจารณ์ แสดงความคิดเห็น และส่งเสริมการค้นคว้าด้วยตนเอง พร้อมแนะนำแหล่งความรู้เพิ่มเติม,3,50,2,33.33,1,16.67,0,0,0,0,0,0,4.33,0.82,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,231863,44,6 (13.64%),https://sgulyano.github.io/eval/44868136.html,2563,2,6,2/2563|FGL497|231863,covid
ผู้สอนส่งเสริมให้นักศึกษามีคุณธรรม จริยธรรม และปลูกฝังจิตสํานึกให้นักศึกษานําไปประพฤติและปฏิบัติได้อย่างเหมาะสม,4,66.67,2,33.33,0,0,0,0,0,0,0,0,4.67,0.52,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,2/2563,FGL497,231863,44,6 (13.64%),https://sgulyano.github.io/eval/44868136.html,2563,2,6,2/2563|FGL497|231863,covid
"ผู้สอนมีการกำหนดวัตถุประสงค์, หัวข้อการสอน, และมีเอกสารอ่านประกอบ",38,71.7,11,20.75,4,7.55,0,0,0,0,0,0,4.64,0.62,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2564,DRI970,231863,127,53 (41.73%),https://sgulyano.github.io/eval/45435188.html,2564,1,53,1/2564|DRI970|231863,covid
ผู้สอนมีการสอน ตามสภาพจริง เหมาะสมภายใต้ข้อจำกัดในสถานการณ์ COVID-19 และสอดคล้องกับมาตรฐานการเรียนรู้ / ตัวชี้วัด,38,71.7,10,18.87,5,9.43,0,0,0,0,0,0,4.62,0.66,ส่วนที่ 1 ข้อคำถามกลางของมหาวิทยาลัย,ปริญญาตรี โครงการพิเศษ,1/2564,DRI970,231863,127,53 (41.73%),https://sgulyano.github.io/eval/45435188.html,2564,1,53,1/2564|DRI970|231863,covid
